timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778229935560,1095,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-51,,true,,576,445,61,61,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,1095,0,785
1778229936460,221,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-60,,true,,576,445,62,62,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,221,0,131
1778229936561,209,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-61,,true,,576,445,63,63,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,209,0,102
1778229936662,312,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-62,,true,,576,445,65,65,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,312,0,112
1778229931660,5317,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-12,,true,,576,445,65,65,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,5317,0,4683
1778229936760,271,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-63,,true,,576,445,65,65,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,271,0,96
1778229936860,317,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-64,,true,,576,445,67,67,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,317,0,176
1778229936960,217,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-65,,true,,576,445,67,67,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,217,0,101
1778229937060,265,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-66,,true,,576,445,68,68,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,265,0,128
1778229937160,227,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-67,,true,,576,445,69,69,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,227,0,110
1778229937261,287,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-68,,true,,576,445,70,70,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,287,0,134
1778229937438,260,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-19,text,true,,2264,1399,72,72,https://tpm.l.fjfj.es/tool-provider-manager/tools,186,0,0
